N,Z,A,Element,Origin,Mass Excess [keV],ME unc [keV],Binding Energy [keV],BE unc [keV],B?,B- decay Energy [keV],B-decay En unc [keV]
1,0,1,n,,8071.3171,0.0005,0,0,B-,782.346,0.001
0,1,1,H,,7288.97061,0.00009,0,0,,*,
1,1,2,H,,13135.72176,0.00011,1112.283,0,,*,
2,1,3,H,,14949.80993,0.00022,2827.265,0,B-,18.592,0
1,2,3,He,,14931.21793,0.00021,2572.68,0,,*,
0,3,3,Li,#NAME?,28670,2000,-2270,670,B+,13740,2000
3,1,4,H,#NAME?,24620,100,1720,25,B-,22200,100
2,2,4,He,,2424.91561,0.00006,7073.915,0,,*,
1,3,4,Li,#NAME?,25320,210,1150,50,B+,22900,210
4,1,5,H,#NAME?,32890,90,1336,18,B-,21660,90
3,2,5,He,#NAME?,11231,20,5512,4,,*,
2,3,5,Li,#NAME?,11680,50,5266,10,B+,450,50
1,4,5,Be,x,37140,2000,20,400,B+,25460,2000
5,1,6,H,-3n,41880,250,960,40,B-,24280,250
4,2,6,He,,17592.1,0.05,4878.519,0.009,B-,3505.22,0.05
3,3,6,Li,,14086.8789,0.0014,5332.331,0,,*,
2,4,6,Be,-,18375,5,4487.2,0.9,B+,4288,5
1,5,6,B,x,47320,2000,-470,330,B+,28950,2000
6,1,7,H,#NAME?,49140,1000,940,140,B-,23060,1000
5,2,7,He,#NAME?,26073,8,4123.1,1.1,B-,11166,8
4,3,7,Li,,14907.105,0.004,5606.439,0.001,,*,
3,4,7,Be,,15769,0.07,5371.548,0.01,B+,861.89,0.07
2,5,7,B,p4n,27677,25,3559,4,B+,11908,25
6,2,8,He,,31609.68,0.09,3924.52,0.011,B-,10663.88,0.1
5,3,8,Li,,20945.8,0.05,5159.712,0.006,B-,16004.13,0.06
4,4,8,Be,#NAME?,4941.67,0.04,7062.435,0.004,,*,
3,5,8,B,,22921.6,1,4717.15,0.12,B+,17979.9,1
2,6,8,C,,35064,18,3101.5,2.3,B+,12143,18
7,2,9,He,,40940,50,3349,5,B-,15980,50
6,3,9,Li,-3n,24954.9,0.19,5037.768,0.021,B-,13606.45,0.2
5,4,9,Be,,11348.45,0.08,6462.668,0.009,,*,
4,5,9,B,-,12416.5,0.9,6257.07,0.1,B+,1068,0.9
3,6,9,C,#NAME?,28911,2.1,4337.42,0.24,B+,16494.5,2.3
8,2,10,He,#NAME?,49200,90,2995,9,B-,16140,90      1
7,3,10,Li,#NAME?,33053,13,4531.4,1.3,B-,20445,13      1
6,4,10,Be,,12607.49,0.08,6497.63,0.008,B-,556.88,0.08   1
5,5,10,B,,12050.609,0.015,6475.083,0.002,,*,1
4,6,10,C,,15698.67,0.07,6032.042,0.007,B+,3648.06,0.07   1
3,7,10,N,--,38800,400,3640,40,B+,23100,400      1
8,3,11,Li,x,40728.3,0.6,4155.38,0.06,B-,20551.1,0.7    1
7,4,11,Be,,20177.17,0.24,5952.54,0.022,B-,11509.46,0.24   1
6,5,11,B,,8667.707,0.012,6927.732,0.001,,*,1
5,6,11,C,,10649.4,0.06,6676.456,0.005,B+,1981.69,0.06   1
4,7,11,N,#NAME?,24300,50,5364,4,B+,13650,50      1
9,3,12,Li,#NAME?,49010,30,3791.6,2.5,B-,23930,30      1
8,4,12,Be,,25077.8,1.9,5720.72,0.16,B-,11708.4,2.3    1
7,5,12,B,,13369.4,1.3,6631.22,0.11,B-,13369.4,1.3    1
6,6,12,C,,0,0,7680.144,0,,*,1
5,7,12,N,,17338.1,1,6170.11,0.08,B+,17338.1,1.0    1
4,8,12,O,#NAME?,31915,24,4890.2,2,B+,14577,24      1
10,3,13,Li,#NAME?,56980,70,3508,5,B-,23320,70      1
9,4,13,Be,#NAME?,33659,10,5241.4,0.8,B-,17097,10      1
8,5,13,B,#NAME?,16561.9,1,6496.42,0.08,B-,13436.9,1.0    1
7,6,13,C,,3125.00888,0.00021,7469.849,0,,*,1
6,7,13,N,,5345.48,0.27,7238.863,0.021,B+,2220.47,0.27   1
5,8,13,O,+3n,23115,10,5811.8,0.7,B+,17770,10      1
10,4,14,Be,x,39950,130,4994,9,B-,16290,130      1
9,5,14,B,,23664,21,6101.6,1.5,B-,20644,21      1
8,6,14,C,,3019.893,0.004,7520.319,0,B-,156.476,0.004  1
7,7,14,N,,2863.41672,0.00019,7475.614,0,,*,1
6,8,14,O,,8007.781,0.025,7052.278,0.002,B+,5144.364,0.025  1
5,9,14,F,#NAME?,31960,40,5285.2,2.9,B+,23960,40      1
11,4,15,Be,#NAME?,49830,170,4541,11,B-,20870,170      1
10,5,15,B,,28958,21,5880,1.4,B-,19085,21      1
9,6,15,C,#NAME?,9873.1,0.8,7100.17,0.05,B-,9771.7,0.8    1
8,7,15,N,,101.4387,0.0006,7699.46,0,,*,1
7,8,15,O,,2855.6,0.5,7463.69,0.03,B+,2754.2,0.5    1
6,9,15,F,#NAME?,16567,14,6497.5,0.9,B+,13711,14      1
5,10,15,Ne,#NAME?,40220,70,4869,4,B+,23650,70      1
12,4,16,Be,#NAME?,57450,170,4285,10,B-,20330,170      1
11,5,16,B,,37113,25,5507.3,1.5,B-,23418,25      1
10,6,16,C,#NAME?,13694,4,6922.05,0.22,B-,8010,4      1
9,7,16,N,#NAME?,5683.9,2.3,7373.8,0.14,B-,10420.9,2.3    1
8,8,16,O,,-4737.00135,0.00016,7976.206,0,,*,1
7,9,16,F,-,10680,8,6963.7,0.5,B+,15417,8      1
6,10,16,Ne,--,23987,20,6083.2,1.3,B+,13307,22      1
12,5,17,B,x,43720,200,5270,12,B-,22680,200      1
11,6,17,C,2p-n,21032,17,6558,1,B-,13162,23      1
10,7,17,N,#NAME?,7870,15,7286.2,0.9,B-,8679,15      1
9,8,17,O,,-808.7635,0.0007,7750.728,0,,*,1
8,9,17,F,,1951.7,0.25,7542.328,0.015,B+,2760.47,0.25   1
7,10,17,Ne,,16500.4,0.4,6640.499,0.021,B+,14548.7,0.4    1
6,11,17,Na,x,35170,1000,5500,60,B+,18670,1000      1
13,5,18,B,#NAME?,51790,200,4977,11,B-,26870,210      1
12,6,18,C,++,24920,30,6426.1,1.7,B-,11810,40      1
11,7,18,N,+,13113,19,7038.6,1,B-,13896,19      1
10,8,18,O,,-782.8156,0.0007,7767.097,0,,*,1
9,9,18,F,,873.1,0.5,7631.638,0.026,B+,1655.9,0.5    1
8,10,18,Ne,,5317.6,0.4,7341.257,0.02,B+,4444.5,0.6    1
7,11,18,Na,,25040,90,6202,5,B+,19720,90      1
14,5,19,B,x,59770,530,4720,28,B-,27360,530      1
13,6,19,C,#NAME?,32410,100,6118,5,B-,16560,100      1
12,7,19,N,p-2n,15856,16,6948.5,0.9,B-,12523,17      1
11,8,19,O,#NAME?,3332.9,2.6,7566.49,0.14,B-,4820.3,2.6    1
10,9,19,F,,-1487.4442,0.0009,7779.018,0,,*,1
9,10,19,Ne,+3n,1752.05,0.16,7567.343,0.008,B+,3239.49,0.16   1
8,11,19,Na,,12929,11,6937.9,0.6,B+,11177,11      1
7,12,19,Mg,#NAME?,31830,50,5902,2.6,B+,18900,50      1
15,5,20,B,x,68450,800,4450,40,B-,30950,830.     2
14,6,20,C,x,37500,230,5961,12,B-,15740,240      2
13,7,20,N,x,21770,80,6709,4,B-,17970,80      2
12,8,20,O,#NAME?,3796.2,0.9,7568.57,0.04,B-,3813.6,0.9    2
11,9,20,F,#NAME?,-17.463,0.03,7720.134,0.002,B-,7024.467,0.030  1
10,10,20,Ne,,-7041.9305,0.0016,8032.24,0,,*,1
9,11,20,Na,,6850.6,1.1,7298.5,0.06,B+,13892.5,1.1    2
8,12,20,Mg,#NAME?,17477.7,1.9,6728.02,0.09,B+,10627.1,2.2    2
16,5,21,B,x,77330,900,4200,40,B-,31690,1080.     2
15,6,21,C,x,45640,600,5674,28,B-,20410,610.     2
14,7,21,N,x,25230,130,6609,6,B-,17170,130      2
13,8,21,O,-3n,8062,12,7389.4,0.6,B-,8110,12      2
12,9,21,F,#NAME?,-47.6,1.8,7738.29,0.09,B-,5684.2,1.8    2
11,10,21,Ne,,-5731.78,0.04,7971.713,0.002,,*,2
10,11,21,Na,,-2184.63,0.1,7765.547,0.005,B+,3547.14,0.09   2
9,12,21,Mg,x,10903.8,0.8,7105.03,0.04,B+,13088.5,0.8    2
8,13,21,Al,x,26990,600,6302,28,B+,16090,600.     2
16,6,22,C,#NAME?,53610,230,5421,11,B-,21850,310      2
15,7,22,N,x,31760,210,6379,9,B-,22480,220      2
14,8,22,O,-4n,9280,60,7364.9,2.6,B-,6490,60      2
13,9,22,F,+,2793,12,7624.3,0.6,B-,10818,12      2
12,10,22,Ne,,-8024.719,0.018,8080.465,0.001,,*,2
11,11,22,Na,,-5181.51,0.17,7915.667,0.008,B+,2843.21,0.17   2
10,12,22,Mg,,-399.9,0.3,7662.761,0.014,B+,4781.6,0.3    2
9,13,22,Al,x,18200,400,6782,18,B+,18600,400.     2
8,14,22,Si,x,33340,500,6058,23,B+,15140,640.     2
17,6,23,C,x,64170,1000,5080,40,B-,27450,1080.     2
16,7,23,N,x,36720,420,6237,18,B-,22100,440      2
15,8,23,O,x,14620,120,7163,5,B-,11340,130      2
14,9,23,F,,3290,30,7622.3,1.4,B-,8440,30      2
13,10,23,Ne,#NAME?,-5154.05,0.1,7955.256,0.005,B-,4375.8,0.10   2
12,11,23,Na,,-9529.8525,0.0018,8111.493,0,,*,2
11,12,23,Mg,-,-5473.51,0.16,7901.115,0.007,B+,4056.34,0.16   2
10,13,23,Al,--,6748.1,0.3,7335.727,0.015,B+,12221.6,0.4    2
9,14,23,Si,x,23700,500,6565,22,B+,16950,500.     2
17,7,24,N,x,46940,400,5887,17,B-,28440,430.     2
16,8,24,O,x,18500,160,7040,7,B-,10960,190      2
15,9,24,F,x,7540,100,7464,4,B-,13500,100      2
14,10,24,Ne,#NAME?,-5951.6,0.5,7993.325,0.021,B-,2466.3,0.5    2
13,11,24,Na,#NAME?,-8417.901,0.017,8063.488,0.001,B-,5515.669,0.021  2
12,12,24,Mg,,-13933.569,0.013,8260.709,0.001,,*,2
11,13,24,Al,ep,-48.86,0.23,7649.582,0.01,B+,13884.7,0.23   2
10,14,24,Si,--,10745,19,7167.2,0.8,B+,10794,19      2
9,15,24,P,x,33320,500,6194,21,B+,22570,500.     2
18,7,25,N,x,55980,500,5613,20,B-,28650,530.     2
17,8,25,O,#NAME?,27330,170,6728,7,B-,15990,190      2
16,9,25,F,x,11330,100,7336,4,B-,13370,100      2
15,10,25,Ne,,-2036,29,7839.8,1.2,B-,7322,29      2
14,11,25,Na,#NAME?,-9357.8,1.2,8101.4,0.05,B-,3835,1.2    2
13,12,25,Mg,,-13192.78,0.05,8223.502,0.002,,*,2
12,13,25,Al,,-8915.97,0.06,8021.136,0.003,B+,4276.81,0.04   2
11,14,25,Si,+3n,3827,10,7480.1,0.4,B+,12743,10      2
10,15,25,P,x,19740,400,6812,16,B+,15910,400.     2
18,8,26,O,#NAME?,34660,160,6497,6,B-,16010,200      2
